Site,Parameter,Year,Month,Day,Hour,PM2.5 (avg),Category,Observations,source_file
Hanoi,PM2.5 - Principal,2019,1,1,1,35.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,2,44.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,3,33.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,4,29.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,5,34.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,6,30.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,7,30.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,8,38.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,9,37.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,10,39.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,11,37.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,12,38.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,13,25.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,14,26.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,15,22.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,16,24.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,17,23.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,18,22.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,19,27.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,20,32.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,21,43.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,22,34.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,1,23,27.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,0,33.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,1,25.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,2,28.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,3,24.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,4,32.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,5,25.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,6,23.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,7,25.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,8,26.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,9,26.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,10,34.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,11,32.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,12,31.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,13,25.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,14,27.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,15,49.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,16,57.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,17,61.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,18,72.0,Unhealthy,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,19,68.0,Unhealthy,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,20,71.0,Unhealthy,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,21,59.0,Unhealthy,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,22,31.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,2,23,33.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,0,34.0,Unhealthy for Sensitive Groups,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,1,24.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,2,20.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,3,19.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,4,24.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,5,35.0,Moderate,1,Hanoi_daily_2019_combined.csv
Hanoi,PM2.5 - Principal,2019,1,3,6,29.0,Moderate,1,Hanoi_daily_2019_combined.csv
