Site,Parameter,Year,Month,Day,Hour,PM2.5 (avg),Category,Observations,source_file
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,1,10.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,2,12.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,3,11.0,Good,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,4,8.0,Good,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,5,14.0,Good,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,6,22.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,7,23.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,8,26.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,9,31.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,10,19.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,11,31.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,12,17.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,13,18.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,14,20.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,15,20.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,16,16.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,17,13.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,18,18.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,19,27.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,20,26.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,21,19.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,22,15.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,1,23,15.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,0,13.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,1,7.0,Good,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,2,17.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,3,15.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,4,15.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,5,7.0,Good,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,6,16.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,7,19.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,8,20.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,9,24.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,10,28.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,11,27.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,12,28.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,13,24.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,14,27.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,15,39.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,16,37.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,17,31.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,18,29.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,19,35.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,20,32.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,21,38.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,22,29.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,2,23,29.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,0,29.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,1,21.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,2,16.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,3,19.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,4,24.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,5,27.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,6,26.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,7,36.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,8,41.0,Unhealthy for Sensitive Groups,2,HoChiMinhCity_daily_2019_combined.csv
Ho Chi Minh City,PM2.5 - Principal,2019,1,3,9,27.0,Moderate,2,HoChiMinhCity_daily_2019_combined.csv
