Month,Year,Month_num,PM2.5,City
2019-01,2019,1,21.57,Jakarta daily Alltime combined
2019-02,2019,2,29.62,Jakarta daily Alltime combined
2019-03,2019,3,24.71,Jakarta daily Alltime combined
2019-04,2019,4,35.7,Jakarta daily Alltime combined
2019-05,2019,5,38.68,Jakarta daily Alltime combined
2019-06,2019,6,57.26,Jakarta daily Alltime combined
2019-07,2019,7,56.65,Jakarta daily Alltime combined
2019-08,2019,8,44.01,Jakarta daily Alltime combined
2019-09,2019,9,47.33,Jakarta daily Alltime combined
2019-10,2019,10,47.04,Jakarta daily Alltime combined
2019-11,2019,11,41.57,Jakarta daily Alltime combined
2019-12,2019,12,37.12,Jakarta daily Alltime combined
2020-01,2020,1,26.25,Jakarta daily Alltime combined
2020-02,2020,2,23.96,Jakarta daily Alltime combined
2020-03,2020,3,28.4,Jakarta daily Alltime combined
2020-04,2020,4,32.96,Jakarta daily Alltime combined
2020-05,2020,5,32.76,Jakarta daily Alltime combined
2020-06,2020,6,48.41,Jakarta daily Alltime combined
2020-07,2020,7,46.37,Jakarta daily Alltime combined
2020-08,2020,8,44.59,Jakarta daily Alltime combined
2020-09,2020,9,41.02,Jakarta daily Alltime combined
2020-10,2020,10,36.76,Jakarta daily Alltime combined
2020-11,2020,11,34.15,Jakarta daily Alltime combined
2020-12,2020,12,13.08,Jakarta daily Alltime combined
2021-01,2021,1,21.4,Jakarta daily Alltime combined
2021-02,2021,2,19.22,Jakarta daily Alltime combined
2021-03,2021,3,31.04,Jakarta daily Alltime combined
2021-04,2021,4,36.36,Jakarta daily Alltime combined
2021-05,2021,5,37.98,Jakarta daily Alltime combined
2021-06,2021,6,45.01,Jakarta daily Alltime combined
2021-07,2021,7,49.57,Jakarta daily Alltime combined
2021-08,2021,8,40.2,Jakarta daily Alltime combined
2021-09,2021,9,35.78,Jakarta daily Alltime combined
2021-10,2021,10,39.25,Jakarta daily Alltime combined
2021-11,2021,11,20.94,Jakarta daily Alltime combined
2021-12,2021,12,25.45,Jakarta daily Alltime combined
2022-01,2022,1,25.03,Jakarta daily Alltime combined
2022-02,2022,2,21.61,Jakarta daily Alltime combined
2022-03,2022,3,25.11,Jakarta daily Alltime combined
2022-04,2022,4,26.03,Jakarta daily Alltime combined
2022-05,2022,5,23.21,Jakarta daily Alltime combined
2022-06,2022,6,32.02,Jakarta daily Alltime combined
2022-07,2022,7,25.51,Jakarta daily Alltime combined
2022-08,2022,8,34.08,Jakarta daily Alltime combined
2022-09,2022,9,32.17,Jakarta daily Alltime combined
2022-10,2022,10,24.52,Jakarta daily Alltime combined
2022-11,2022,11,19.94,Jakarta daily Alltime combined
2022-12,2022,12,20.02,Jakarta daily Alltime combined
2023-01,2023,1,16.15,Jakarta daily Alltime combined
2023-02,2023,2,13.54,Jakarta daily Alltime combined
2023-03,2023,3,19.7,Jakarta daily Alltime combined
2023-04,2023,4,21.97,Jakarta daily Alltime combined
2023-05,2023,5,33.36,Jakarta daily Alltime combined
2023-06,2023,6,32.94,Jakarta daily Alltime combined
2023-07,2023,7,36.81,Jakarta daily Alltime combined
2023-08,2023,8,38.31,Jakarta daily Alltime combined
2023-09,2023,9,38.54,Jakarta daily Alltime combined
2023-10,2023,10,39.81,Jakarta daily Alltime combined
2023-11,2023,11,33.8,Jakarta daily Alltime combined
2023-12,2023,12,29.69,Jakarta daily Alltime combined
2024-01,2024,1,13.76,Jakarta daily Alltime combined
2024-02,2024,2,13.14,Jakarta daily Alltime combined
2024-03,2024,3,14.91,Jakarta daily Alltime combined
2024-04,2024,4,25.02,Jakarta daily Alltime combined
2024-05,2024,5,35.73,Jakarta daily Alltime combined
2024-06,2024,6,34.97,Jakarta daily Alltime combined
2024-07,2024,7,36.62,Jakarta daily Alltime combined
2024-08,2024,8,41.6,Jakarta daily Alltime combined
2024-09,2024,9,37.22,Jakarta daily Alltime combined
2024-10,2024,10,39.6,Jakarta daily Alltime combined
2024-11,2024,11,21.81,Jakarta daily Alltime combined
2024-12,2024,12,13.39,Jakarta daily Alltime combined
2025-01,2025,1,20.0,Jakarta daily Alltime combined
