Month,Year,Month_num,PM2.5,City
2022-06,2022,6,8.11,KualaLumpur daily Alltime combined
2022-07,2022,7,16.26,KualaLumpur daily Alltime combined
2022-08,2022,8,16.4,KualaLumpur daily Alltime combined
2022-09,2022,9,13.87,KualaLumpur daily Alltime combined
2022-10,2022,10,10.82,KualaLumpur daily Alltime combined
2022-11,2022,11,7.27,KualaLumpur daily Alltime combined
2022-12,2022,12,7.04,KualaLumpur daily Alltime combined
2023-01,2023,1,7.69,KualaLumpur daily Alltime combined
2023-02,2023,2,6.73,KualaLumpur daily Alltime combined
2023-03,2023,3,6.25,KualaLumpur daily Alltime combined
2023-04,2023,4,11.22,KualaLumpur daily Alltime combined
2023-05,2023,5,9.36,KualaLumpur daily Alltime combined
2023-06,2023,6,13.7,KualaLumpur daily Alltime combined
2023-07,2023,7,11.27,KualaLumpur daily Alltime combined
2023-08,2023,8,10.72,KualaLumpur daily Alltime combined
2023-09,2023,9,15.87,KualaLumpur daily Alltime combined
2023-10,2023,10,19.0,KualaLumpur daily Alltime combined
2023-11,2023,11,7.28,KualaLumpur daily Alltime combined
2023-12,2023,12,6.55,KualaLumpur daily Alltime combined
2024-01,2024,1,6.33,KualaLumpur daily Alltime combined
2024-02,2024,2,10.14,KualaLumpur daily Alltime combined
2024-03,2024,3,14.0,KualaLumpur daily Alltime combined
2024-04,2024,4,16.29,KualaLumpur daily Alltime combined
2024-05,2024,5,10.99,KualaLumpur daily Alltime combined
2024-09,2024,9,28.1,KualaLumpur daily Alltime combined
2024-10,2024,10,40.77,KualaLumpur daily Alltime combined
