Year,Month,Level (AVG)
2026,1,24.59
2026,2,16.85
2026,3,16.85
2026,4,16.85
2026,5,16.85
2026,6,20.23
2026,7,16.85
2026,8,16.85
2026,9,16.85
2026,10,13.06
2026,11,18.61
2026,12,16.69
2027,1,24.59
2027,2,16.85
2027,3,16.85
2027,4,16.85
2027,5,16.85
2027,6,20.23
2027,7,16.85
2027,8,16.85
2027,9,16.85
2027,10,13.06
2027,11,18.61
2027,12,16.69
2028,1,24.59
2028,2,16.85
2028,3,16.85
2028,4,16.85
2028,5,16.85
2028,6,20.23
2028,7,16.85
2028,8,16.85
2028,9,16.85
2028,10,13.06
2028,11,18.61
2028,12,16.69
