Site,Parameter,Year,Month,Day,Hour,PM2.5 (avg),Category,Observations,source_file
Vientiane,PM2.5 - Principal,2019,5,20,3,49.0,Good,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,4,40.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,5,47.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,6,49.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,7,55.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,8,39.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,9,36.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,10,30.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,11,24.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,12,29.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,13,30.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,14,33.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,15,26.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,16,20.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,17,22.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,18,36.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,19,96.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,20,68.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,21,64.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,22,60.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,20,23,53.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,0,73.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,1,56.0,Unhealthy,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,2,49.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,3,51.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,4,21.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,5,18.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,6,23.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,7,36.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,8,39.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,9,42.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,10,36.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,11,36.0,Unhealthy for Sensitive Groups,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,12,28.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,13,29.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,14,27.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,15,35.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,16,35.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,17,33.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,18,21.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,19,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,20,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,21,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,22,11.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,21,23,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,0,36.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,1,19.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,2,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,3,21.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,4,19.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,5,19.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,6,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,7,18.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,8,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,9,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,10,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,11,18.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,12,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,13,12.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,14,15.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,15,12.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,16,19.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,17,20.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,18,17.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,19,29.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,20,30.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,21,31.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,22,26.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,22,23,16.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,23,0,5.0,Moderate,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,23,1,4.0,Good,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,23,2,4.0,Good,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,23,3,6.0,Good,2,Vientiane_daily_2019_combined.csv
Vientiane,PM2.5 - Principal,2019,5,23,4,6.0,Good,2,Vientiane_daily_2019_combined.csv
