Month,Year,Month_num,PM2.5,City
2019-05,2019,5,15.96,Vientiane daily Alltime combined
2019-06,2019,6,10.25,Vientiane daily Alltime combined
2019-07,2019,7,9.22,Vientiane daily Alltime combined
2019-08,2019,8,5.91,Vientiane daily Alltime combined
2019-09,2019,9,25.44,Vientiane daily Alltime combined
2019-10,2019,10,23.31,Vientiane daily Alltime combined
2019-11,2019,11,34.83,Vientiane daily Alltime combined
2019-12,2019,12,52.96,Vientiane daily Alltime combined
2020-01,2020,1,49.15,Vientiane daily Alltime combined
2020-02,2020,2,50.45,Vientiane daily Alltime combined
2020-03,2020,3,59.15,Vientiane daily Alltime combined
2020-04,2020,4,39.2,Vientiane daily Alltime combined
2020-05,2020,5,26.2,Vientiane daily Alltime combined
2020-06,2020,6,9.8,Vientiane daily Alltime combined
2020-07,2020,7,9.16,Vientiane daily Alltime combined
2020-08,2020,8,9.14,Vientiane daily Alltime combined
2020-09,2020,9,13.75,Vientiane daily Alltime combined
2020-10,2020,10,15.96,Vientiane daily Alltime combined
2020-11,2020,11,28.6,Vientiane daily Alltime combined
2020-12,2020,12,40.39,Vientiane daily Alltime combined
2021-01,2021,1,55.0,Vientiane daily Alltime combined
2021-02,2021,2,51.83,Vientiane daily Alltime combined
2021-03,2021,3,53.71,Vientiane daily Alltime combined
2021-04,2021,4,29.57,Vientiane daily Alltime combined
2021-05,2021,5,18.37,Vientiane daily Alltime combined
2021-06,2021,6,8.36,Vientiane daily Alltime combined
2021-07,2021,7,8.21,Vientiane daily Alltime combined
2021-08,2021,8,10.65,Vientiane daily Alltime combined
2021-09,2021,9,8.1,Vientiane daily Alltime combined
2021-10,2021,10,17.13,Vientiane daily Alltime combined
2021-11,2021,11,29.93,Vientiane daily Alltime combined
2021-12,2021,12,48.62,Vientiane daily Alltime combined
2022-01,2022,1,46.57,Vientiane daily Alltime combined
2022-02,2022,2,32.22,Vientiane daily Alltime combined
2022-03,2022,3,40.92,Vientiane daily Alltime combined
2022-04,2022,4,46.12,Vientiane daily Alltime combined
2022-05,2022,5,16.83,Vientiane daily Alltime combined
2022-06,2022,6,10.24,Vientiane daily Alltime combined
2022-07,2022,7,9.12,Vientiane daily Alltime combined
2022-08,2022,8,15.09,Vientiane daily Alltime combined
2022-09,2022,9,12.93,Vientiane daily Alltime combined
2022-10,2022,10,22.73,Vientiane daily Alltime combined
2022-11,2022,11,43.89,Vientiane daily Alltime combined
2022-12,2022,12,49.27,Vientiane daily Alltime combined
2023-01,2023,1,46.09,Vientiane daily Alltime combined
2023-02,2023,2,63.16,Vientiane daily Alltime combined
2023-03,2023,3,72.21,Vientiane daily Alltime combined
2023-04,2023,4,66.33,Vientiane daily Alltime combined
2023-05,2023,5,27.58,Vientiane daily Alltime combined
2023-06,2023,6,12.2,Vientiane daily Alltime combined
2023-07,2023,7,11.21,Vientiane daily Alltime combined
2023-08,2023,8,15.08,Vientiane daily Alltime combined
2023-09,2023,9,12.23,Vientiane daily Alltime combined
2023-10,2023,10,21.66,Vientiane daily Alltime combined
2023-11,2023,11,40.26,Vientiane daily Alltime combined
2024-01,2024,1,34.4,Vientiane daily Alltime combined
2024-02,2024,2,42.19,Vientiane daily Alltime combined
2024-03,2024,3,49.41,Vientiane daily Alltime combined
2024-04,2024,4,69.15,Vientiane daily Alltime combined
2024-05,2024,5,23.09,Vientiane daily Alltime combined
2024-06,2024,6,10.77,Vientiane daily Alltime combined
2024-07,2024,7,8.28,Vientiane daily Alltime combined
2024-08,2024,8,7.85,Vientiane daily Alltime combined
2024-09,2024,9,9.84,Vientiane daily Alltime combined
2024-10,2024,10,24.32,Vientiane daily Alltime combined
2024-11,2024,11,29.0,Vientiane daily Alltime combined
2024-12,2024,12,33.91,Vientiane daily Alltime combined
2025-01,2025,1,31.0,Vientiane daily Alltime combined
