Month,Year,Month_num,PM2.5,City
2019-01,2019,1,50.34,Hanoi daily Alltime combined
2019-02,2019,2,35.9,Hanoi daily Alltime combined
2019-03,2019,3,46.74,Hanoi daily Alltime combined
2019-04,2019,4,31.13,Hanoi daily Alltime combined
2019-08,2019,8,16.3,Hanoi daily Alltime combined
2019-09,2019,9,57.69,Hanoi daily Alltime combined
2019-10,2019,10,47.07,Hanoi daily Alltime combined
2019-11,2019,11,66.8,Hanoi daily Alltime combined
2019-12,2019,12,82.59,Hanoi daily Alltime combined
2020-01,2020,1,54.51,Hanoi daily Alltime combined
2020-02,2020,2,68.77,Hanoi daily Alltime combined
2020-03,2020,3,48.95,Hanoi daily Alltime combined
2020-04,2020,4,45.85,Hanoi daily Alltime combined
2020-05,2020,5,37.29,Hanoi daily Alltime combined
2020-06,2020,6,35.04,Hanoi daily Alltime combined
2020-07,2020,7,30.14,Hanoi daily Alltime combined
2020-08,2020,8,25.26,Hanoi daily Alltime combined
2020-09,2020,9,29.0,Hanoi daily Alltime combined
2020-10,2020,10,34.33,Hanoi daily Alltime combined
2020-11,2020,11,49.88,Hanoi daily Alltime combined
2020-12,2020,12,63.7,Hanoi daily Alltime combined
2021-01,2021,1,97.84,Hanoi daily Alltime combined
2021-02,2021,2,45.83,Hanoi daily Alltime combined
2021-03,2021,3,42.0,Hanoi daily Alltime combined
2021-04,2021,4,32.22,Hanoi daily Alltime combined
2021-05,2021,5,25.63,Hanoi daily Alltime combined
2021-06,2021,6,28.85,Hanoi daily Alltime combined
2021-07,2021,7,23.33,Hanoi daily Alltime combined
2021-08,2021,8,24.95,Hanoi daily Alltime combined
2021-09,2021,9,28.63,Hanoi daily Alltime combined
2021-10,2021,10,28.99,Hanoi daily Alltime combined
2021-11,2021,11,43.01,Hanoi daily Alltime combined
2021-12,2021,12,76.34,Hanoi daily Alltime combined
2022-01,2022,1,52.07,Hanoi daily Alltime combined
2022-02,2022,2,36.56,Hanoi daily Alltime combined
2022-03,2022,3,38.88,Hanoi daily Alltime combined
2022-05,2022,5,27.39,Hanoi daily Alltime combined
2022-06,2022,6,31.49,Hanoi daily Alltime combined
2022-07,2022,7,26.66,Hanoi daily Alltime combined
2022-08,2022,8,27.01,Hanoi daily Alltime combined
2022-09,2022,9,43.25,Hanoi daily Alltime combined
2022-10,2022,10,57.27,Hanoi daily Alltime combined
2022-11,2022,11,51.74,Hanoi daily Alltime combined
2022-12,2022,12,68.95,Hanoi daily Alltime combined
2023-01,2023,1,76.95,Hanoi daily Alltime combined
2023-02,2023,2,47.95,Hanoi daily Alltime combined
2023-03,2023,3,60.6,Hanoi daily Alltime combined
2023-04,2023,4,46.65,Hanoi daily Alltime combined
2023-05,2023,5,35.27,Hanoi daily Alltime combined
2023-06,2023,6,29.91,Hanoi daily Alltime combined
2023-07,2023,7,25.72,Hanoi daily Alltime combined
2023-08,2023,8,31.68,Hanoi daily Alltime combined
2023-09,2023,9,34.5,Hanoi daily Alltime combined
2023-10,2023,10,46.16,Hanoi daily Alltime combined
2023-11,2023,11,61.05,Hanoi daily Alltime combined
2023-12,2023,12,53.29,Hanoi daily Alltime combined
2024-01,2024,1,42.98,Hanoi daily Alltime combined
2024-02,2024,2,41.42,Hanoi daily Alltime combined
2024-03,2024,3,53.92,Hanoi daily Alltime combined
2024-04,2024,4,46.23,Hanoi daily Alltime combined
2024-05,2024,5,33.52,Hanoi daily Alltime combined
2024-06,2024,6,33.32,Hanoi daily Alltime combined
2024-07,2024,7,24.52,Hanoi daily Alltime combined
2024-08,2024,8,24.25,Hanoi daily Alltime combined
2024-09,2024,9,35.22,Hanoi daily Alltime combined
2024-10,2024,10,56.1,Hanoi daily Alltime combined
2024-11,2024,11,67.3,Hanoi daily Alltime combined
2024-12,2024,12,62.24,Hanoi daily Alltime combined
