Month,Year,Month_num,PM2.5,City
2019-01,2019,1,32.83,HoChiMinhCity daily Alltime combined
2019-02,2019,2,18.87,HoChiMinhCity daily Alltime combined
2019-03,2019,3,15.33,HoChiMinhCity daily Alltime combined
2019-04,2019,4,17.15,HoChiMinhCity daily Alltime combined
2019-05,2019,5,24.02,HoChiMinhCity daily Alltime combined
2019-06,2019,6,19.61,HoChiMinhCity daily Alltime combined
2019-07,2019,7,20.23,HoChiMinhCity daily Alltime combined
2019-08,2019,8,18.77,HoChiMinhCity daily Alltime combined
2019-09,2019,9,27.04,HoChiMinhCity daily Alltime combined
2019-10,2019,10,37.9,HoChiMinhCity daily Alltime combined
2019-11,2019,11,43.88,HoChiMinhCity daily Alltime combined
2019-12,2019,12,37.97,HoChiMinhCity daily Alltime combined
2020-01,2020,1,32.96,HoChiMinhCity daily Alltime combined
2020-02,2020,2,28.73,HoChiMinhCity daily Alltime combined
2020-03,2020,3,18.21,HoChiMinhCity daily Alltime combined
2020-04,2020,4,21.21,HoChiMinhCity daily Alltime combined
2020-05,2020,5,17.13,HoChiMinhCity daily Alltime combined
2020-06,2020,6,23.37,HoChiMinhCity daily Alltime combined
2020-07,2020,7,21.53,HoChiMinhCity daily Alltime combined
2020-08,2020,8,17.68,HoChiMinhCity daily Alltime combined
2020-09,2020,9,18.96,HoChiMinhCity daily Alltime combined
2020-10,2020,10,19.27,HoChiMinhCity daily Alltime combined
2020-11,2020,11,29.52,HoChiMinhCity daily Alltime combined
2020-12,2020,12,28.74,HoChiMinhCity daily Alltime combined
2021-01,2021,1,38.03,HoChiMinhCity daily Alltime combined
2021-02,2021,2,29.09,HoChiMinhCity daily Alltime combined
2021-03,2021,3,22.05,HoChiMinhCity daily Alltime combined
2021-04,2021,4,22.46,HoChiMinhCity daily Alltime combined
2021-05,2021,5,18.4,HoChiMinhCity daily Alltime combined
2021-06,2021,6,17.4,HoChiMinhCity daily Alltime combined
2021-07,2021,7,12.83,HoChiMinhCity daily Alltime combined
2021-08,2021,8,13.6,HoChiMinhCity daily Alltime combined
2021-09,2021,9,11.44,HoChiMinhCity daily Alltime combined
2021-10,2021,10,20.58,HoChiMinhCity daily Alltime combined
2021-11,2021,11,27.06,HoChiMinhCity daily Alltime combined
2021-12,2021,12,32.63,HoChiMinhCity daily Alltime combined
2022-01,2022,1,33.2,HoChiMinhCity daily Alltime combined
2022-02,2022,2,21.38,HoChiMinhCity daily Alltime combined
2022-03,2022,3,24.73,HoChiMinhCity daily Alltime combined
2022-04,2022,4,25.22,HoChiMinhCity daily Alltime combined
2022-05,2022,5,18.67,HoChiMinhCity daily Alltime combined
2022-06,2022,6,20.47,HoChiMinhCity daily Alltime combined
2022-07,2022,7,20.52,HoChiMinhCity daily Alltime combined
2022-08,2022,8,20.32,HoChiMinhCity daily Alltime combined
2022-09,2022,9,15.01,HoChiMinhCity daily Alltime combined
2022-10,2022,10,22.2,HoChiMinhCity daily Alltime combined
2022-11,2022,11,28.7,HoChiMinhCity daily Alltime combined
2022-12,2022,12,34.24,HoChiMinhCity daily Alltime combined
2023-01,2023,1,22.66,HoChiMinhCity daily Alltime combined
2023-02,2023,2,27.02,HoChiMinhCity daily Alltime combined
2023-03,2023,3,26.25,HoChiMinhCity daily Alltime combined
2023-04,2023,4,19.03,HoChiMinhCity daily Alltime combined
2023-05,2023,5,19.49,HoChiMinhCity daily Alltime combined
2023-06,2023,6,16.12,HoChiMinhCity daily Alltime combined
2023-07,2023,7,21.85,HoChiMinhCity daily Alltime combined
