Site,Parameter,Year,Month,Day,NowCast Conc (avg),AQI (avg),PM2.5 (avg),AQI Category,Hours
Ho Chi Minh City,PM2.5 - Principal,2023,1,1,23.2,74,22.91,Moderate,23
Ho Chi Minh City,PM2.5 - Principal,2023,1,2,27.81,85,28.92,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,3,31.85,92,30.75,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,4,14.14,54,14.0,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,5,13.03,52,12.96,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,6,14.53,55,14.54,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,7,13.9,53,14.25,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,8,25.34,79,26.5,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,9,32.57,96,31.54,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,10,14.28,54,14.29,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,11,15.88,59,15.83,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,12,-33.76,2,12.27,Good,22
Ho Chi Minh City,PM2.5 - Principal,2023,1,13,19.16,66,19.33,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,14,29.1,87,30.0,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,15,33.7,97,34.38,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,16,30.78,91,29.58,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,17,34.95,101,35.42,Unhealthy for Sensitive Groups,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,18,33.02,96,32.88,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,19,24.47,77,24.5,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,20,27.51,83,27.71,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,21,22.11,72,21.71,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,22,30.12,90,29.88,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,23,14.11,54,14.12,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,24,12.83,51,12.96,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,25,13.72,54,13.88,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,26,17.18,61,17.83,Moderate,23
Ho Chi Minh City,PM2.5 - Principal,2023,1,27,26.0,81,25.88,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,28,10.47,42,10.42,Good,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,29,19.23,66,19.5,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,30,26.42,81,26.79,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,1,31,35.55,102,35.67,Unhealthy for Sensitive Groups,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,1,45.9,127,46.08,Unhealthy for Sensitive Groups,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,2,30.98,91,30.5,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,3,15.76,58,16.09,Moderate,23
Ho Chi Minh City,PM2.5 - Principal,2023,2,4,18.41,64,18.17,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,5,17.42,62,17.67,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,6,16.09,59,16.04,Moderate,24
Ho Chi Minh City,PM2.5 - Principal,2023,2,7,14.58,56,14.75,Moderate,24
